id,abstract_number,udc,language,country,abstract,real_id,content,comment,pages,bic,mac,ilc,tbc,source_name,volume,issue,key_words,authors,generation_date,publication_date,type,verified,create_time,verification_time,deponire_number,deponire_date,deponire_place,patent_number,appeletion_date,priore_date,patent_publication_date,patent_place,ipc,issn,isbn,rubrics,subjects
2874,02.12-67А.34ДЕП,,русский,Россия,"Вопросы институционального оформления долговой политики остаются достаточно слабо исследованными в мировой экономической литературе. Тем не менее в практическом плане этот вопрос получил широкое развитие, намного обогнав теорию. Помимо традиционных подходов к вопросу управления госдолгом, когда эти функции возложены на министерство финансов или центробанк, с конца 1980-х годов получил развитие третий подход, предусматривающий делегирование полномочий по заимствованию независимым органам - агентствам по управлению государственным долгом. Основополагающей причиной выделения долгового управления в отдельную службу является в первую очередь наличие потенциального конфликта между задачами бюджетного финансирования, целями монетарной политики и собственно управлением госдолгом. В работе основной акцент делается на определение условий создания и рамок эффективной деятельности независимых структур управления государственным долгом. Предлагаемый теоретический подход к исследованию данного вопроса базируется на предположении, что долговые власти при проведении заимствований в виде облигаций сталкиваются с взаимоисключающими альтернативами. Увеличение объема выпуска облигации повышает ее ликвидность, что ведет к снижению расходов на обслуживание долга. Однако создание ликвидного выпуска требует времени и правительство не может внезапно менять характеристики выпускаемых бумаг в соответствии с текущей ситуацией. Существующие немногочисленные теоретические работы, позволяющие рассматривать эффективность различных моделей организации долгового управления, как правило игнорируют существование бюджетных ограничений, рассматривая только ""чистое"" управление долгом. Между тем для анализа подобных вопросов в приложении к развивающимся экономикам, в том числе российской, необходимо учитывать, что организация эффективной системы долгового управления должна сочетаться с острой потребностью в финансировании больших социальных обязательств, и, следовательно, бюджетные ограничения не могут игнорироваться. Для формализации предлагаемого подхода в работе была разработана экономико-математическая модель, предполагающая удовлетворение стратегических потребностей в долгах определенного типа с помощью двух близких по своим характеристикам облигаций. Рассматриваются два режима, отличающиеся предположениями относительно степени доверия инвесторов к долговой политике властей. В условиях симметрии информации, предполагаемой в модели, оптимальный результат для случая полного доверия при сравнительно большой потребности в заимствованиях оказывается ничем не лучше ситуации отсутствия доверия. В этом случае задача становится тривиальной: следует выпускать один наиболее дешевый с точки зрения средних издержек от потери гибкости инструмент. Однако при достаточно большой потребности бюджета в заимствованиях режим полного доверия оказывается строго предпочтительнее. Проблема заключается в отсутствии механизмов, обеспечивающих устойчивость этого режима. Существующие механизмы повышения доверия, включая создание репутации, основываются на предположении о возможности согласованных коллективных санкций со стороны всех инвесторов. Это допущение является достаточно сильным, к тому же в рамках рассматриваемого подхода репутационное равновесие оказывается все равно хуже случая полного доверия (кооперативного режима). Применительно к задаче организации системы управления госдолгом эта проблема может быть эффективно решена с помощью создания независимого долгового агентства. Предлагаемый подход основывается на том, что отношения правительства и агентства строятся на основе некоторого контракта, который обеспечивает достижение кооперативного режима. Такой контракт должен предусматривать прозрачную схему стимулирования менеджмента агентства. В условиях сравнительно небольшой потребности в заимствованиях, когда задача долговой политики становится тривиальной - покрыть весь необходимый объем долга с помощью одной наиболее дешевой бумаги, - государственная политика в области долгов не будет зависеть от степени доверия со стороны инвесторов. Соответственно, в этих условиях создание специализированного агентства оказывается по меньшей мере бесполезным. Напротив, в ситуации, когда требуется серьезная работа с долгами: большая накопленная долговая нагрузка, хронические дефициты бюджета, недостаток квалифицированного персонала и нехватка доверия со стороны инвесторов, - учреждение независимого агентства по управлению долгом становится единственно эффективным выходом",2002-12 EK07 БД ВИНИТИ,,,39,15,,,,"Ин-т фин. исслед.. М.. 2001, 39 с., ил.. Библ. 15. Рус.. Деп. в ВИНИТИ 19.10.2001, N 2185-В2001",,,"{""Государственное управление"",""государственный долг"",""институциональные аспекты"",""моделирование (экон.)"",Россия}","{""Вавилов А П"",""Ковалишин Е А""}",2002-12-01,,8,f,2018-11-17 10:47:28.917554,,2185-В2001,2001-10-19,Ин-т фин. исслед.. М.,,,,,,,,,"{82.13.27,821.13.27}","{""Экономика промышленности""}"
3332,01.04-04П1.42ДЕП,,русский,Россия,"Раскрываются понятия типологизации и классификации, которые используются при системном описаниях информации в педагогике и психологии. Дается определение базиса и показывается возможность применения математической теории групп при моделировании психолого-педагогических конструктов. Раскрываются преимущества ""факториальной"" (2, 6, 24, 120, ...) типологизации психолого-педагогической информации по сравнению с типологизацией, опирающейся на размерности 2, 4, 8, 16, 32, ...",2001-04 BI44 БД ВИНИТИ,,,14,4,,,,"Вологод. гос. техн. ун-т. Вологда. 2000, 14 с., ил.. Библ. 4 назв. назв. Рус.. Деп. в ВИНИТИ 28.07.00, N 2112-В00",,,"{""базисные описания"",классификация,""Математическая психология"",""психолого-педагогическая информация"",типологизация,""факториальные закономерности""}","{""Малышев К.Б""}",2001-04-01,,8,f,2018-11-17 10:47:32.215737,,2112-В00,0001-07-28 BC,Вологод. гос. техн. ун-т. Вологда,,,,,,,,,"{15.21.69,151.21.69.17}",{Биология}
3831,01.06-07А.39ДЕП,,русский,Россия,"Монография является первым в отечественной литературе изложением основных проблем многокритериального оценивания объектов географо-экологических исследований и их свойств с учетом моделирования дефицита информации на основе теории нечетких множеств. Рассматриваются теоретические и методологические основания и предпосылки создания методики многокритериального оценивания; методика многокритериального оценивания экологического состояния геосистем и урбасистем и устойчивости (уязвимости) геосистем к изменению параметров естественного и антропогенного режимов; опыт многокритериального оценивания. Приводятся критерии оценивания, квалиметрические шкалы, алфавиты классов, приоритеты оценивания. Изложенные подходы учитывают дефицит информации и мнения различных экспертов по приоритетности параметров оценивания природно-антропогенных систем или синтез информации о предпочтении объектов по совокупности оцениваемых параметров. Все методологические подходы иллюстрируются на конкретных примерах оценки географо-экологических ситуаций наземных, водных и урбанизированных систем",2001-06 GG11 БД ВИНИТИ,,,275,120,,,,"С.-Петербург. гос. ун-т. СПб. 2000, 275 с., ил.. Библ. 120. Рус.. Деп. в ВИНИТИ 01.09.2000, N 2342-В2000",,,"{""географо-экологические исследования"",Геосистемы,""методология. Россия"",""многокритериальная оценка"",урбосистемы}","{""Александрова Л В"",""Васильев В Ю"",""Дмитриев В В"",""Мякишева Н В"",""Огурцов А Н"",""Третьяков В Ю"",""Хованов Н В""}",2001-06-01,,8,f,2018-11-17 10:47:38.500949,,2342-В2000,2000-09-01,С.-Петербург. гос. ун-т. СПб,,,,,,,,,"{39.01.77,391.01.77}","{""Автоматика и радиотехника"",""Вычислительные науки"",География}"
10412,09.11-18Л.0298,,английский,США,"Изучен вклад электронов 3d-оболочки в потери энергии выше 100 кэВ протонами, рассеянными в направлении от поверхности Cu(111). Основанием для исследования была экспериментальная работа (S. Lederer et. al. ""Phys. Rev. A"", 2006, 73, 054901). Для описания процесса использован формализм кратных столкновений, где взаимодействие осколка с 3d-электронами описывалось последовательностью единичных событий с атомами, принадлежащими первому слою атомов. Чтобы сравнить теоретические потери энергии с экспериментом, добавлен вклад от валентных электронов, рассчитанный в теории линейного отклика с функцией отклика, которая включает информацию о структуре поверхностных зон. Для полноты, энергия, теряемая протонами, также рассчитывалась в модели желе, которая одинаково включает 3d и валентные электроны. Если в расчет включены 3d-электроны, то согласие расчета с экспериментом - хорошее. Библ. 14.     М. А. Бунин.",2009-11 FI02 БД ВИНИТИ,,,044901/1-044901/4,,,,,"Phys. Rev. A. 2007. 76, N 4, ч. B, с. 044901/1-044901/4. Англ.",76,4,"{""вклад 3d-оболочки в энергетические потери протона"",""поверхность Cu(111)"",""Рентгеновские спектры твердых тел"",""скользящее рассеяния от поверхности""}","{""Alducin M"",""Gravielle M S"",""Juaristi J I"",""Silkin V M""}",2009-11-01,,1,f,2018-11-17 10:48:49.677613,,,,,,,,,,,1050-2947,,"{29.31.21,291.31.21.21.15}",{Физика}
16779,01.07-24А.157,,английский,США,Предложен метод синтеза оптимизированных приемных устройств с извлечением информации непосредственно от элементов антенной системы. Метод синтеза основан на использовании известной матрицы ковариантности для каналов с замиранием. Описана теория оптимизированного разнесенного приема на основе подхода с использованием взвешенных сумм,2001-07 AB12 БД ВИНИТИ,,,648-658,26,,,,"IEEE Trans. Commun.. 2000. 48, N 4, с. 648-658, 8. Библ. 26. Англ.",48,4,"{""адаптивные решетки"",АР,""замирания каналов"",оптимизация,""приемные устройства""}","{""Aulin Tor M"",""Hansson Anders A""}",2001-07-01,,1,f,2018-11-17 10:49:56.119166,,,,,,,,,,,0090-6778,,"{47.45.29,473.45.29.09.03}","{""Автоматика и радиотехника""}"
17030,01.09-01А.29,,английский,Словения,"Рассматриваются вычислительные парадигмы оптоэлектроники для реализации широкого диапазона обработки цифровой информации. Излагаются теор. основы параллельного суммирования чисел в модифицированном четверично-кодированном виде и доказывается теорема о свободном переносе в процессе суммирования. Предлагается реализация параллельного сумматора модифицированных четверичных чисел на оптических ПЛМ, особенностью которого является высокое быстродействие. Описывается процесс вычислений со свободным переносом в предложенном сумматоре. Сообщается, что были проведены исследования эксперим. образца сумматора на оптических ПЛМ, при которых разрабатывались методы подавления влияния шумов и перекрестных помех",2001-09 AB01 БД ВИНИТИ,,,467-473,30,,,,"Informatica (Slovenia). 2000. 24, N 4, с. 467-473, 4. Библ. 30. Англ.",24,4,"{""оптоэлектронные элементы"",Сумматоры,""четверичные числа. ПЛМ""}","{""Abdul Ahad S Awwal"",""Howard E Michel"",""Oscar N Garcia"",""Shafiqul Khalid A T M"",""Syed M Munir""}",2001-09-01,,1,f,2018-11-17 10:49:57.81147,,,,,,,,,,,0350-5596,,"{50.09.29,501.09.29.07}","{""Автоматика и радиотехника""}"
17289,01.10-81.530,,японский,Япония,"Дается подробный анализ и проводится классификация колич. мер, используемых для выражения специфичности терминов в различных задачах классификации и информационного поиска. Предлагается новое мат. определение ""количества особенностей"" в качестве меры специфичности терминов в документах, базирующееся на статистической теории информации. Мера специфичности выражается через произведение частоты появления терминов и их информационной меры в документах, в которых они присутствуют. Доказывается, что предложенная мера имеет ту же интерпретацию, что и обычно используемые в современных ИПС меры вида tf×idf, и хорошо коррелирует с ними. Предлагаются формулы для практического вычисления количества особенности термина, применение которых иллюстрируется на большом числе примеров",2001-10 AB06 БД ВИНИТИ,,,3332-3343,40,,,4,"Joho shori gakkai ronbunshi=Trans. Inform. Process. Soc. Jap.. 2000. 41, N 12, с. 3332-3343, 3, 4 табл.. Библ. 40. Яп.; рез. англ.",41,12,"{Классификаторы,""количественные меры. ИПС""}","{""Aizawa Akiko""}",2001-10-01,,1,f,2018-11-17 10:49:59.816191,,,,,,,,,,,0387-5806,,"{82.15.13,823.15.13.07}","{""Автоматика и радиотехника"",""Экономика промышленности""}"
21171,16.08-04А3.247,,английский,США,"Получение контрастных изображений лазерных спеклов (КИЛС) является модальностью формирования изображений для мониторинга микрососудистого кровотока. В противоположность лазерной допплеровской флоуметрии (ЛДФ), КИЛС имеют преимущество изображения поверхностного кровотока, используя простое оборудование. Для количественного определения сходства между символическими последовательностями КИЛС и ЛДФ предложено использовать показатель, адаптированный из лингвистического анализа и теории информации, предложенный Янгом. Для этой цели одновременно записываются данные КИЛС и ЛДФ от предплечья здоровых субъектов в покое и в течение перекрытия кровотока (биологического нуля). Показано, что для КИЛС и ЛДФ данных существуют различные динамические картины, и различия определяются посредством изучаемых пространственных шкал. Количественная метрика обеспечивает получение новой информации от КИЛС и дает знания о связях между КИЛС и ЛДФ. Франция, Univ. d'Angers, Angers. E-mail: anne.humeau@univ_angers.fr",2016-08 BI38 БД ВИНИТИ,,,2311-2321,84,,,,"IEEE Trans. Med. Imag.. 2013. 32, N 12, с. 2311-2321. Библ. 84. Англ.",32,12,"{""контрастные изображения"",Кровоток,""флоуметрия лазерная допплеровская""}","{""Abraham Pierre"",""Humeau-Heurtier Anne"",""Mahe Guillaume""}",2016-08-01,,1,f,2018-11-17 10:50:41.844084,,,,,,,,,,,0278-0062,,"{34.57.23,341.57.23.25}",{Биология}
22554,16.05-01В.340,,английский,США,"Для распознавания лиц в сценариях видеонаблюдения необходимо повышение разрешения изображений. Здесь исследована проблема распознавания лиц при неуправляемых условиях, напр., при дистанционном видеонаблюдении, где возможно сильное снижение качества или размывание захваченных изображений или получение изображений низкого разрешения. Здесь представлены результаты исследований по недавно разработанной теории Сжатых Измерений (CS) для построения масштабируемых схем распознавания лиц с использованием переполненных словарей, позволяющих получать лицевые изображения сверхразрешения из любого входного некачественного лицевого изображения низкого разрешения. Показано, что детерминистические и недетерминистические словари, не использующие информации лицевых изображений, но удовлетворяющие некоторой форме Ограниченного Изометрического Свойства, используемого для Сжатых Измерений, обеспечивают достаточную или даже лучшую точность распознавания лиц.",2016-05 AB22 БД ВИНИТИ,,,87550P/1-87550P/11,,,,,"Proc. SPIE. 2013. 8755, с. 87550P/1-87550P/11. Англ.",8755,,"{обучение,""Распознавание лиц""}","{""Al-Hassan Nadia"",""Jassim Sabah A"",""Sellahewa Harin""}",2016-05-01,,1,f,2018-11-17 10:50:54.949656,,,,,,,,,,,0277-786X,,"{50.41.25,502.41.25.23}","{""Автоматика и радиотехника""}"
22754,16.06-01Б.153,,английский,США,"Технологические разбросы являются серьезной проблемой в проектировании надежных КМОП систем на базе смешанных сигналов с высоким выходом годных. Для минимизации отклонения в коэффициенте усиления напряжения, связанных с технологическими разбросами, напряжением питания и температурой, для типовых усилителей на основе транспроводимости предлагается новый метод компенсации на базе статистической ОС технологической информации. Разработана базовая теория и выполнена оценка ее эффективности для различных технологических аспектов. В качестве примера схема применена к двум известным топологиям усилителя в TSMC 65 нм КМОП технологии - индуктивный вырожденный маломощный усилитель (LNA) и усилитель с общим истоком (CSA). Результаты измерений на 100 чипах LNA показывают, что новый метод компенсации в 3,7 раз уменьшает разброс в коэффициенте усиления по сравнению с базовым вариантом.",2016-06 AB22 БД ВИНИТИ,,,1-12,30,,,,"IEEE Trans. Very Large Scale Integr. (VLSI) Syst.. 2014. 22, N 1, с. 1-12. Библ. 30. Англ.",22,1,"{ИС,КМОП,усилители}","{""Apsel Alyssa B"",""Gouveia-Filho Oscar C"",""Kramer Nicholas"",""Mukadam Mustansir Y"",""Zhang Xuan""}",2016-06-01,,1,f,2018-11-17 10:50:56.514248,,,,,,,,,,,1063-8210,,"{50.09.29,502.09.29.15}","{""Автоматика и радиотехника""}"
